Sorting Algorithm Used: Heap Sort
Total number of points in the final convex hull: 17
Final Convex Hull Points (bottom-to-top):
(7722.000000, 6.000000)
(29989.000000, 59.000000)
(31681.000000, 199.000000)
(32638.000000, 302.000000)
(32715.000000, 8602.000000)
(32690.000000, 23430.000000)
(32542.000000, 30951.000000)
(31131.000000, 32557.000000)
(29798.000000, 32746.000000)
(18140.000000, 32764.000000)
(5020.000000, 32679.000000)
(1050.000000, 32442.000000)
(154.000000, 31951.000000)
(15.000000, 27045.000000)
(8.000000, 12634.000000)
(49.000000, 450.000000)
(1834.000000, 17.000000)
