Sorting Algorithm Used: Heap Sort
Total number of points in the final convex hull: 25
Final Convex Hull Points (bottom-to-top):
(24746.000000, 6.000000)
(42640.000000, 6.000000)
(77109.000000, 8.000000)
(94253.000000, 21.000000)
(99466.000000, 155.000000)
(99827.000000, 1212.000000)
(99956.000000, 3313.000000)
(99991.000000, 29665.000000)
(99984.000000, 89180.000000)
(99950.000000, 99685.000000)
(99926.000000, 99920.000000)
(99815.000000, 99980.000000)
(69346.000000, 99999.000000)
(32302.000000, 99997.000000)
(13189.000000, 99995.000000)
(2836.000000, 99984.000000)
(979.000000, 99627.000000)
(135.000000, 98607.000000)
(51.000000, 96851.000000)
(8.000000, 94295.000000)
(2.000000, 7589.000000)
(14.000000, 3342.000000)
(42.000000, 1854.000000)
(222.000000, 451.000000)
(339.000000, 19.000000)
